product_desc,category,division,department,qty,true_revenue,total_cost,total_profit,record_count,profit_per_unit,profit_margin_pct,qty_benchmark_median,profit_per_unit_benchmark_median,popularity_index,margin_index,quadrant,recommended_action,profit_contribution_pct,qty_share_pct,revenue_share_pct
SALAD BAR 1 VISIT,FOOD,SALADS BAR,TAKE AWAY,7439.0,5527214.42,0.0,5527214.42,10,743.01,100.0,400.5,156.68,18.57,4.74,star,"Keep quality high, feature prominently, and bundle for upsell.",0.92,0.11,0.66
WHITE MOCHA SMALL,BEVERAGES,HOT BAR SECTION,TAKE AWAY,42716.0,7552285.95,2050238.15,5502047.8,32,128.81,72.85,400.5,156.68,106.66,0.82,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.92,0.65,0.9
AMERICANO SMALL,BEVERAGES,HOT BAR SECTION,TAKE AWAY,34196.0,6495722.75,1193025.23,5302697.52,33,155.07,81.63,400.5,156.68,85.38,0.99,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.89,0.52,0.77
POMEGRANATE YOGHURT COMBO SMALL,FOOD,FROZEN YOGHURT,TAKE AWAY,19957.15,6630310.16,1358416.08,5271894.08,23,264.16,79.51,400.5,156.68,49.83,1.69,star,"Keep quality high, feature prominently, and bundle for upsell.",0.88,0.31,0.79
CARAMEL FRAPP SMALL,BEVERAGES,COLD BAR SECTION,TAKE AWAY,30775.0,6937285.38,1734888.89,5202396.49,32,169.05,74.99,400.5,156.68,76.84,1.08,star,"Keep quality high, feature prominently, and bundle for upsell.",0.87,0.47,0.83
TURKEY & CHEESE SUB,FOOD,SANDWICHES,TAKE AWAY,18307.5,6704855.52,1836709.1,4868146.42,28,265.91,72.61,400.5,156.68,45.71,1.7,star,"Keep quality high, feature prominently, and bundle for upsell.",0.81,0.28,0.8
SPANISH LATTE MEDIUM,BEVERAGES,HOT BAR SECTION,TAKE AWAY,21223.0,6308063.23,1518956.4,4789106.83,31,225.66,75.92,400.5,156.68,52.99,1.44,star,"Keep quality high, feature prominently, and bundle for upsell.",0.8,0.32,0.75
BLACK COFFEE MEDIUM,BEVERAGES,HOT BAR SECTION,TAKE AWAY,33174.0,6714295.21,2143160.72,4571134.49,33,137.79,68.08,400.5,156.68,82.83,0.88,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.76,0.51,0.8
CARAMEL MACHIATO MEDIUM,BEVERAGES,HOT BAR SECTION,TAKE AWAY,20683.0,5422909.5,1300729.96,4122179.54,33,199.3,76.01,400.5,156.68,51.64,1.27,star,"Keep quality high, feature prominently, and bundle for upsell.",0.69,0.32,0.65
LAZY CAKE,FOOD,COFFEE PASTRY,TAKE AWAY,23795.0,7627431.09,3549420.83,4078010.26,33,171.38,53.47,400.5,156.68,59.41,1.09,star,"Keep quality high, feature prominently, and bundle for upsell.",0.68,0.36,0.91
AMERICANO MEDIUM,BEVERAGES,HOT BAR SECTION,TAKE AWAY,21873.0,4886335.79,1005959.48,3880376.31,34,177.4,79.41,400.5,156.68,54.61,1.13,star,"Keep quality high, feature prominently, and bundle for upsell.",0.65,0.33,0.58
MOCHA FRAPP MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,19747.0,5199964.92,1441640.43,3758324.49,28,190.32,72.28,400.5,156.68,49.31,1.21,star,"Keep quality high, feature prominently, and bundle for upsell.",0.63,0.3,0.62
FLAT WHITE,BEVERAGES,HOT BAR SECTION,TAKE AWAY,28911.0,4811294.12,1069373.38,3741920.74,33,129.43,77.77,400.5,156.68,72.19,0.83,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.63,0.44,0.57
CHOCOLATE CREAM FRAPP MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,18648.5,5009739.5,1283625.56,3726113.94,32,199.81,74.38,400.5,156.68,46.56,1.28,star,"Keep quality high, feature prominently, and bundle for upsell.",0.62,0.29,0.6
WATER,BEVERAGES,250ML/24,TAKE AWAY,110145.0,4146317.31,504840.45,3641476.86,2,33.06,87.82,400.5,156.68,275.02,0.21,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.61,1.68,0.49
ICED SPANISH LATTE SMALL,BEVERAGES,COLD BAR SECTION,TAKE AWAY,19012.0,4279494.52,669743.43,3609751.09,28,189.87,84.35,400.5,156.68,47.47,1.21,star,"Keep quality high, feature prominently, and bundle for upsell.",0.6,0.29,0.51
CARAMEL CREAM FRAPP MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,15882.0,4266016.21,674780.58,3591235.63,30,226.12,84.18,400.5,156.68,39.66,1.44,star,"Keep quality high, feature prominently, and bundle for upsell.",0.6,0.24,0.51
CHEESE CROISSANT,FOOD,CROISSANT,TAKE AWAY,28191.0,5893024.43,2354888.2,3538136.23,34,125.51,60.04,400.5,156.68,70.39,0.8,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.59,0.43,0.7
LOTUS YOGHURT COMBO SMALL,FOOD,FROZEN YOGHURT,TAKE AWAY,15811.85,5040995.97,1526264.02,3514731.95,22,222.28,69.72,400.5,156.68,39.48,1.42,star,"Keep quality high, feature prominently, and bundle for upsell.",0.59,0.24,0.6
SIGNATURE HOT CHOCOLATE MEDIUM,BEVERAGES,HOT BAR SECTION,TAKE AWAY,18557.0,4955581.28,1575018.17,3380563.11,32,182.17,68.22,400.5,156.68,46.33,1.16,star,"Keep quality high, feature prominently, and bundle for upsell.",0.57,0.28,0.59
CHOCOLATE ROLL LARGE,FOOD,CINNAMON ROLLS,TAKE AWAY,15179.0,4265337.85,890826.13,3374511.72,31,222.31,79.11,400.5,156.68,37.9,1.42,star,"Keep quality high, feature prominently, and bundle for upsell.",0.56,0.23,0.51
NY STYLE COOKIE - CHOCOLATE CHIP WALNUT,FOOD,COOKIES,TAKE AWAY,14658.0,4633458.55,1311891.0,3321567.55,33,226.6,71.69,400.5,156.68,36.6,1.45,star,"Keep quality high, feature prominently, and bundle for upsell.",0.56,0.22,0.55
STRAWBERRY CREAM FRAPP MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,16815.0,4510644.67,1200985.05,3309659.62,27,196.83,73.37,400.5,156.68,41.99,1.26,star,"Keep quality high, feature prominently, and bundle for upsell.",0.55,0.26,0.54
DOUBLE SHOT SHAKEN MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,17382.0,4096470.6,890958.78,3205511.82,30,184.42,78.25,400.5,156.68,43.4,1.18,star,"Keep quality high, feature prominently, and bundle for upsell.",0.54,0.27,0.49
SIGNATURE HOT CHOCOLATE SMALL,BEVERAGES,HOT BAR SECTION,TAKE AWAY,20647.0,4563425.88,1397240.9,3166184.98,32,153.35,69.38,400.5,156.68,51.55,0.98,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.53,0.32,0.54
CARAMEL FRAPP LARGE,BEVERAGES,COLD BAR SECTION,TAKE AWAY,12700.0,3974449.46,909802.38,3064647.08,31,241.31,77.11,400.5,156.68,31.71,1.54,star,"Keep quality high, feature prominently, and bundle for upsell.",0.51,0.19,0.47
ICED WHITE MOCHA SMALL,BEVERAGES,COLD BAR SECTION,TAKE AWAY,17516.0,3524050.31,471743.02,3052307.29,28,174.26,86.61,400.5,156.68,43.74,1.11,star,"Keep quality high, feature prominently, and bundle for upsell.",0.51,0.27,0.42
SPANISH LATTE SMALL,BEVERAGES,HOT BAR SECTION,TAKE AWAY,20227.0,3999521.02,1023515.67,2976005.35,31,147.13,74.41,400.5,156.68,50.5,0.94,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.5,0.31,0.48
ICED AMERICANO MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,15211.0,3506116.12,539722.1,2966394.02,29,195.02,84.61,400.5,156.68,37.98,1.24,star,"Keep quality high, feature prominently, and bundle for upsell.",0.5,0.23,0.42
ICED LATTE LARGE,BEVERAGES,COLD BAR SECTION,TAKE AWAY,13228.0,3579545.46,625050.41,2954495.05,30,223.35,82.54,400.5,156.68,33.03,1.43,star,"Keep quality high, feature prominently, and bundle for upsell.",0.49,0.2,0.43
MOCHA MEDIUM,BEVERAGES,HOT BAR SECTION,TAKE AWAY,15604.0,4089859.18,1166498.89,2923360.29,32,187.35,71.48,400.5,156.68,38.96,1.2,star,"Keep quality high, feature prominently, and bundle for upsell.",0.49,0.24,0.49
ICED MOCHA MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,13335.5,3565919.3,704329.73,2861589.57,30,214.58,80.25,400.5,156.68,33.3,1.37,star,"Keep quality high, feature prominently, and bundle for upsell.",0.48,0.2,0.42
CARAMEL MACHIATO SMALL,BEVERAGES,HOT BAR SECTION,TAKE AWAY,16062.0,3494572.52,702493.77,2792078.75,32,173.83,79.9,400.5,156.68,40.1,1.11,star,"Keep quality high, feature prominently, and bundle for upsell.",0.47,0.25,0.42
BROWN PESTO HALLOUMI SUB,FOOD,SANDWICHES,TAKE AWAY,13969.5,4591387.65,1852341.45,2739046.2,27,196.07,59.66,400.5,156.68,34.88,1.25,star,"Keep quality high, feature prominently, and bundle for upsell.",0.46,0.21,0.55
ADD SHOT,BEVERAGES,COLD BAR SECTION,TAKE AWAY,106353.5,3517647.21,942345.23,2575301.98,33,24.21,73.21,400.5,156.68,265.55,0.15,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.43,1.63,0.42
ICED CARAMEL MACCHIATO SMALL,BEVERAGES,COLD BAR SECTION,TAKE AWAY,13163.0,2971517.15,423662.54,2547854.61,29,193.56,85.74,400.5,156.68,32.87,1.24,star,"Keep quality high, feature prominently, and bundle for upsell.",0.43,0.2,0.35
ICED MATCHA LATTE SMALL,BEVERAGES,COLD BAR SECTION,TAKE AWAY,16799.0,3270907.1,768169.93,2502737.17,30,148.98,76.52,400.5,156.68,41.95,0.95,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.42,0.26,0.39
ICED WHITE MOCHA LARGE,BEVERAGES,COLD BAR SECTION,TAKE AWAY,9815.0,2946659.28,508579.69,2438079.59,29,248.4,82.74,400.5,156.68,24.51,1.59,star,"Keep quality high, feature prominently, and bundle for upsell.",0.41,0.15,0.35
CHOCOLATE CROISSANT,FOOD,CROISSANT,TAKE AWAY,18684.0,3927177.28,1560736.81,2366440.47,31,126.66,60.26,400.5,156.68,46.65,0.81,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.4,0.29,0.47
LATTE LARGE,BEVERAGES,HOT BAR SECTION,TAKE AWAY,11503.0,3117134.21,767162.88,2349971.33,31,204.29,75.39,400.5,156.68,28.72,1.3,star,"Keep quality high, feature prominently, and bundle for upsell.",0.39,0.18,0.37
DOUBLE CHOCOLATE MUFFIN,FOOD,COFFEE PASTRY,TAKE AWAY,14778.0,2965735.65,693960.96,2271774.69,33,153.73,76.6,400.5,156.68,36.9,0.98,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.38,0.23,0.35
ORANGE JUICE,BEVERAGES,GRAB&GO BEVERAGES,TAKE AWAY,21318.5,3596650.52,1395622.74,2201027.78,34,103.24,61.2,400.5,156.68,53.23,0.66,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.37,0.33,0.43
POMEGRANATE YOGHURT COMBO MEDIUM,FOOD,FROZEN YOGHURT,TAKE AWAY,7088.4,2807853.52,634429.66,2173423.86,20,306.62,77.41,400.5,156.68,17.7,1.96,star,"Keep quality high, feature prominently, and bundle for upsell.",0.36,0.11,0.33
CHOCOLATE CREAM FRAP SMALL,BEVERAGES,COLD BAR SECTION,TAKE AWAY,12590.0,2794447.43,650470.9,2143976.53,32,170.29,76.72,400.5,156.68,31.44,1.09,star,"Keep quality high, feature prominently, and bundle for upsell.",0.36,0.19,0.33
MOCHA SMALL,BEVERAGES,HOT BAR SECTION,TAKE AWAY,13954.0,2876967.77,747837.61,2129130.16,32,152.58,74.01,400.5,156.68,34.84,0.97,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.36,0.21,0.34
CARAMEL CREAM FRAPP SMALL,BEVERAGES,COLD BAR SECTION,TAKE AWAY,11504.0,2497455.18,373956.54,2123498.64,31,184.59,85.03,400.5,156.68,28.72,1.18,star,"Keep quality high, feature prominently, and bundle for upsell.",0.35,0.18,0.3
BROWN TUNA SUB,FOOD,SANDWICHES,TAKE AWAY,8025.0,3051273.89,986713.38,2064560.51,25,257.27,67.66,400.5,156.68,20.04,1.64,star,"Keep quality high, feature prominently, and bundle for upsell.",0.35,0.12,0.36
BROWN CHICKEN CAESAR SANDWICH,FOOD,SANDWICHES,TAKE AWAY,6901.0,3297251.34,1279879.25,2017372.09,26,292.33,61.18,400.5,156.68,17.23,1.87,star,"Keep quality high, feature prominently, and bundle for upsell.",0.34,0.11,0.39
ICED MATCHA LATTE LARGE,BEVERAGES,COLD BAR SECTION,TAKE AWAY,10325.0,2818830.12,827017.82,1991812.3,30,192.91,70.66,400.5,156.68,25.78,1.23,star,"Keep quality high, feature prominently, and bundle for upsell.",0.33,0.16,0.34
BLUE NADE,BEVERAGES,COLD BAR SECTION,TAKE AWAY,9933.0,2652207.12,668573.83,1983633.29,29,199.7,74.79,400.5,156.68,24.8,1.27,star,"Keep quality high, feature prominently, and bundle for upsell.",0.33,0.15,0.32
CHICKEN CAESAR SANDWICH,FOOD,SANDWICHES,TAKE AWAY,6819.0,3060627.84,1140983.73,1919644.11,27,281.51,62.72,400.5,156.68,17.03,1.8,star,"Keep quality high, feature prominently, and bundle for upsell.",0.32,0.1,0.36
ICED PEACH TEA MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,9685.0,2367122.14,460666.78,1906455.36,27,196.85,80.54,400.5,156.68,24.18,1.26,star,"Keep quality high, feature prominently, and bundle for upsell.",0.32,0.15,0.28
ICED AMERICANO SMALL,BEVERAGES,COLD BAR SECTION,TAKE AWAY,10459.0,2057596.79,231031.23,1826565.56,31,174.64,88.77,400.5,156.68,26.11,1.11,star,"Keep quality high, feature prominently, and bundle for upsell.",0.31,0.16,0.24
STRAWBERRY CREAM FRAPP SMALL,BEVERAGES,COLD BAR SECTION,TAKE AWAY,13943.0,2541964.71,746646.14,1795318.57,26,128.76,70.63,400.5,156.68,34.81,0.82,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.3,0.21,0.3
LOTUS YOGHURT COMBO MEDIUM,FOOD,FROZEN YOGHURT,TAKE AWAY,5922.9,2371002.55,754868.43,1616134.12,23,272.86,68.16,400.5,156.68,14.79,1.74,star,"Keep quality high, feature prominently, and bundle for upsell.",0.27,0.09,0.28
FONDANT AU CHOCOLAT,FOOD,FRENCH PASTRY,TAKE AWAY,11019.0,3896718.0,2301134.49,1595583.51,31,144.8,40.95,400.5,156.68,27.51,0.92,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.27,0.17,0.46
ICED LATTE MEDIUM,BEVERAGES,MEDIUM,TAKE AWAY,8177.0,1917405.81,335245.67,1582160.14,3,193.49,82.52,400.5,156.68,20.42,1.23,star,"Keep quality high, feature prominently, and bundle for upsell.",0.26,0.13,0.23
ORANGE CAKE,FOOD,COFFEE PASTRY,TAKE AWAY,6915.0,1967199.74,421362.65,1545837.09,29,223.55,78.58,400.5,156.68,17.27,1.43,star,"Keep quality high, feature prominently, and bundle for upsell.",0.26,0.11,0.23
TUNA SUB,FOOD,SANDWICHES,TAKE AWAY,6060.5,2128211.31,635239.03,1492972.28,27,246.34,70.15,400.5,156.68,15.13,1.57,star,"Keep quality high, feature prominently, and bundle for upsell.",0.25,0.09,0.25
BLUEBERRY MUFFIN,FOOD,COFFEE PASTRY,TAKE AWAY,9492.0,1908341.39,419447.21,1488894.18,32,156.86,78.02,400.5,156.68,23.7,1.0,star,"Keep quality high, feature prominently, and bundle for upsell.",0.25,0.15,0.23
WATER,BEVERAGES,330ML/24,TABLE,44592.0,1687405.4,204383.73,1483021.67,1,33.26,87.89,400.5,156.68,111.34,0.21,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.25,0.68,0.2
VANILLA CREAM FRAPP MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,7166.0,1844732.77,419287.06,1425445.71,26,198.92,77.27,400.5,156.68,17.89,1.27,star,"Keep quality high, feature prominently, and bundle for upsell.",0.24,0.11,0.22
PESTO HALLOUMI SUB,FOOD,SANDWICHES,TAKE AWAY,8030.0,2324938.14,919116.31,1405821.83,28,175.07,60.47,400.5,156.68,20.05,1.12,star,"Keep quality high, feature prominently, and bundle for upsell.",0.23,0.12,0.28
CHOCOLATE QUELLA,FOOD,FROZEN YOGHURT,TAKE AWAY,20116.5,2057589.5,664492.53,1393096.97,28,69.25,67.71,400.5,156.68,50.23,0.44,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.23,0.31,0.24
SAN BENEDETTO CLEMENTINE 330ML/24,BEVERAGES,GRAB&GO BEVERAGES,TAKE AWAY,11023.0,1859712.89,474363.71,1385349.18,28,125.68,74.49,400.5,156.68,27.52,0.8,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.23,0.17,0.22
CHOCOLATE CRUNCH,FOOD,FROZEN YOGHURT,TAKE AWAY,24738.5,2555662.9,1175483.56,1380179.34,32,55.79,54.0,400.5,156.68,61.77,0.36,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.23,0.38,0.3
WHITE MOCHA LARGE,BEVERAGES,HOT BAR SECTION,TAKE AWAY,6319.0,1911859.54,531711.73,1380147.81,28,218.41,72.19,400.5,156.68,15.78,1.39,star,"Keep quality high, feature prominently, and bundle for upsell.",0.23,0.1,0.23
ICED SALTED CARAMEL LATTE MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,6603.92,1783827.46,408312.72,1375514.74,27,208.29,77.11,400.5,156.68,16.49,1.33,star,"Keep quality high, feature prominently, and bundle for upsell.",0.23,0.1,0.21
BROWNIES CAKE,FOOD,COFFEE PASTRY,TAKE AWAY,14678.0,2331118.82,963366.06,1367752.76,33,93.18,58.67,400.5,156.68,36.65,0.59,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.23,0.22,0.28
RED VELVET CAKE,FOOD,COFFEE PASTRY,TAKE AWAY,8655.0,2626111.05,1291037.51,1335073.54,30,154.25,50.84,400.5,156.68,21.61,0.98,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.22,0.13,0.31
MOCHA FRAPP SMALL,BEVERAGES,COLD BAR SECTION,TAKE AWAY,8404.0,1808851.1,484912.28,1323938.82,27,157.54,73.19,400.5,156.68,20.98,1.01,star,"Keep quality high, feature prominently, and bundle for upsell.",0.22,0.13,0.22
ORGANIC GREEN TEA MEDIUM,BEVERAGES,HOT BAR SECTION,TAKE AWAY,10809.0,1678382.8,400346.02,1278036.78,30,118.24,76.15,400.5,156.68,26.99,0.75,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.21,0.17,0.2
MANGO YOGHURT COMBO X-LARGE,FOOD,FROZEN YOGHURT,TAKE AWAY,3218.05,1711888.86,445471.63,1266417.23,28,393.54,73.98,400.5,156.68,8.04,2.51,star,"Keep quality high, feature prominently, and bundle for upsell.",0.21,0.05,0.2
ESPRESSO FRAPP MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,7602.0,1683450.0,426879.95,1256570.05,30,165.29,74.64,400.5,156.68,18.98,1.05,star,"Keep quality high, feature prominently, and bundle for upsell.",0.21,0.12,0.2
ICED WHITE MOCHA MEDIUM,BEVERAGES,MEDIUM,TAKE AWAY,5478.0,1484903.07,243343.67,1241559.4,3,226.64,83.61,400.5,156.68,13.68,1.45,star,"Keep quality high, feature prominently, and bundle for upsell.",0.21,0.08,0.18
REPLACE ALMOND MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,16218.5,1943126.8,705617.38,1237509.42,28,76.3,63.69,400.5,156.68,40.5,0.49,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.21,0.25,0.23
REPLACE 1 SHOT YIRGACHEFFE,BEVERAGES,COLD BAR SECTION,TAKE AWAY,19233.0,1270401.93,36148.44,1234253.49,26,64.17,97.15,400.5,156.68,48.02,0.41,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.21,0.29,0.15
THYME CROISSANT,FOOD,CROISSANT,TAKE AWAY,11032.0,2089435.71,855715.5,1233720.21,30,111.83,59.05,400.5,156.68,27.55,0.71,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.21,0.17,0.25
DOUBLE SHOT SHAKEN SMALL,BEVERAGES,COLD BAR SECTION,TAKE AWAY,18495.0,1809115.54,591496.23,1217619.31,31,65.84,67.3,400.5,156.68,46.18,0.42,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.2,0.28,0.22
