branch,product_desc,category,division,department,qty,true_revenue,total_cost,total_profit,record_count,profit_per_unit,profit_margin_pct,branch_qty_benchmark_median,branch_ppu_benchmark_median,branch_popularity_index,branch_margin_index,branch_quadrant,branch_recommended_action,branch_profit_contribution_pct
Stories - Bir Hasan,ADD SHOT,BEVERAGES,COLD BAR SECTION,Toters,8074.5,238823.39,71544.11,167279.28,2,20.72,70.04,115.0,154.84,70.21,0.13,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.75
Stories - Bir Hasan,SAN BENEDETTO GLASS 250ML/24,BEVERAGES,GRAB&GO BEVERAGES,Toters,1743.0,237449.85,71064.96,166384.89,2,95.46,70.07,115.0,154.84,15.16,0.62,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.75
Stories - Bir Hasan,ICED LATTE LARGE,BEVERAGES,COLD BAR SECTION,Toters,708.0,199489.73,33454.47,166035.26,2,234.51,83.23,115.0,154.84,6.16,1.51,star,"Keep quality high, feature prominently, and bundle for upsell.",0.75
Stories - Bir Hasan,MANGO YOGHURT COMBO MEDIUM,FOOD,FROZEN YOGHURT,Toters,487.0,207301.92,41626.85,165675.07,1,340.2,79.92,115.0,154.84,4.23,2.2,star,"Keep quality high, feature prominently, and bundle for upsell.",0.74
Stories - Bir Hasan,ICED CARAMEL MACCHIATO SMALL,BEVERAGES,COLD BAR SECTION,Toters,791.0,187752.28,25459.02,162293.26,2,205.17,86.44,115.0,154.84,6.88,1.33,star,"Keep quality high, feature prominently, and bundle for upsell.",0.73
Stories - Bir Hasan,CARAMEL MACHIATO SMALL,BEVERAGES,HOT BAR SECTION,Toters,863.0,198199.66,37744.5,160455.16,2,185.93,80.96,115.0,154.84,7.5,1.2,star,"Keep quality high, feature prominently, and bundle for upsell.",0.72
Stories - Bir Hasan,ICED MATCHA LATTE LARGE,BEVERAGES,COLD BAR SECTION,Toters,775.0,221634.24,62076.4,159557.84,2,205.88,71.99,115.0,154.84,6.74,1.33,star,"Keep quality high, feature prominently, and bundle for upsell.",0.72
Stories - Bir Hasan,ICED MATCHA LATTE SMALL,BEVERAGES,COLD BAR SECTION,Toters,953.0,192352.98,43577.95,148775.03,2,156.11,77.34,115.0,154.84,8.29,1.01,star,"Keep quality high, feature prominently, and bundle for upsell.",0.67
Stories - Bir Hasan,TUNA SUB,FOOD,SANDWICHES,Toters,577.0,206452.82,60478.99,145973.83,2,252.99,70.71,115.0,154.84,5.02,1.63,star,"Keep quality high, feature prominently, and bundle for upsell.",0.66
Stories - Bir Hasan,NY STYLE COOKIE - CHOCOLATE CHIP WALNUT,FOOD,COOKIES,Toters,618.0,201045.95,55311.0,145734.95,2,235.82,72.49,115.0,154.84,5.37,1.52,star,"Keep quality high, feature prominently, and bundle for upsell.",0.65
Stories - Bir Hasan,AMERICANO SMALL,BEVERAGES,HOT BAR SECTION,Toters,902.0,176816.53,31468.85,145347.68,2,161.14,82.2,115.0,154.84,7.84,1.04,star,"Keep quality high, feature prominently, and bundle for upsell.",0.65
Stories - Bir Hasan,MOCHA FRAPP MEDIUM,BEVERAGES,COLD BAR SECTION,Toters,725.0,197497.3,52929.02,144568.28,2,199.4,73.2,115.0,154.84,6.3,1.29,star,"Keep quality high, feature prominently, and bundle for upsell.",0.65
Stories - Bir Hasan,CAPPUCCINO MEDIUM,BEVERAGES,HOT BAR SECTION,Toters,727.0,173038.73,32238.99,140799.74,2,193.67,81.37,115.0,154.84,6.32,1.25,star,"Keep quality high, feature prominently, and bundle for upsell.",0.63
Stories - Bir Hasan,ORIGINAL YOGHURT COMBO MEDIUM,FOOD,FROZEN YOGHURT,Toters,427.0,182867.2,43080.52,139786.68,1,327.37,76.44,115.0,154.84,3.71,2.11,star,"Keep quality high, feature prominently, and bundle for upsell.",0.63
Stories - Bir Hasan,SPANISH LATTE SMALL,BEVERAGES,HOT BAR SECTION,Toters,768.0,174998.26,38861.92,136136.34,2,177.26,77.79,115.0,154.84,6.68,1.14,star,"Keep quality high, feature prominently, and bundle for upsell.",0.61
Stories - Bir Hasan,LATTE LARGE,BEVERAGES,HOT BAR SECTION,Toters,643.0,178481.33,42883.23,135598.1,2,210.88,75.97,115.0,154.84,5.59,1.36,star,"Keep quality high, feature prominently, and bundle for upsell.",0.61
Stories - Bir Hasan,SPANISH LATTE MEDIUM,BEVERAGES,HOT BAR SECTION,Toters,578.0,176355.72,41368.18,134987.54,2,233.54,76.54,115.0,154.84,5.03,1.51,star,"Keep quality high, feature prominently, and bundle for upsell.",0.61
Stories - Bir Hasan,ICED SPANISH LATTE SMALL,BEVERAGES,COLD BAR SECTION,Toters,662.0,158023.49,23320.55,134702.94,2,203.48,85.24,115.0,154.84,5.76,1.31,star,"Keep quality high, feature prominently, and bundle for upsell.",0.61
Stories - Bir Hasan,CAPPUCCINO SMALL,BEVERAGES,HOT BAR SECTION,Toters,761.0,156288.18,23959.48,132328.7,2,173.89,84.67,115.0,154.84,6.62,1.12,star,"Keep quality high, feature prominently, and bundle for upsell.",0.59
Stories - Bir Hasan,ICED WHITE MOCHA LARGE,BEVERAGES,COLD BAR SECTION,Toters,501.0,155063.1,25960.11,129102.99,2,257.69,83.26,115.0,154.84,4.36,1.66,star,"Keep quality high, feature prominently, and bundle for upsell.",0.58
Stories - Bir Hasan,REPLACE 1 SHOT YIRGACHEFFE,BEVERAGES,COLD BAR SECTION,Toters,2017.0,132464.39,3790.95,128673.44,2,63.79,97.14,115.0,154.84,17.54,0.41,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.58
Stories - Bir Hasan,DOUBLE SHOT SHAKEN SMALL,BEVERAGES,COLD BAR SECTION,Toters,1286.0,166815.62,41128.1,125687.52,2,97.74,75.35,115.0,154.84,11.18,0.63,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.56
Stories - Bir Hasan,AMERICANO MEDIUM,BEVERAGES,HOT BAR SECTION,Toters,657.0,152807.36,30216.04,122591.32,2,186.59,80.23,115.0,154.84,5.71,1.21,star,"Keep quality high, feature prominently, and bundle for upsell.",0.55
Stories - Bir Hasan,STRAWBERRY CREAM FRAPP SMALL,BEVERAGES,COLD BAR SECTION,Toters,674.0,150796.07,36092.63,114703.44,2,170.18,76.07,115.0,154.84,5.86,1.1,star,"Keep quality high, feature prominently, and bundle for upsell.",0.52
Stories - Bir Hasan,REPLACE 2 SHOT YIRGACHEFFE,BEVERAGES,COLD BAR SECTION,Toters,1843.0,120424.45,6927.84,113496.61,2,61.58,94.25,115.0,154.84,16.03,0.4,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.51
Stories - Bir Hasan,LAZY CAKE,FOOD,COFFEE PASTRY,Toters,637.0,205562.19,95019.16,110543.03,2,173.54,53.78,115.0,154.84,5.54,1.12,star,"Keep quality high, feature prominently, and bundle for upsell.",0.5
Stories - Bir Hasan,ICED CARAMEL MACCHIATO LARGE,BEVERAGES,COLD BAR SECTION,Toters,417.0,133285.61,24328.32,108957.29,2,261.29,81.75,115.0,154.84,3.63,1.69,star,"Keep quality high, feature prominently, and bundle for upsell.",0.49
Stories - Bir Hasan,ESPRESSO FRAPP MEDIUM,BEVERAGES,COLD BAR SECTION,Toters,618.0,143655.98,34702.95,108953.03,2,176.3,75.84,115.0,154.84,5.37,1.14,star,"Keep quality high, feature prominently, and bundle for upsell.",0.49
Stories - Bir Hasan,CHEESE CROISSANT,FOOD,CROISSANT,Toters,851.0,179518.5,71086.86,108431.64,2,127.42,60.4,115.0,154.84,7.4,0.82,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.49
Stories - Bir Hasan,BROWN TUNA SUB,FOOD,SANDWICHES,Toters,396.0,156116.4,48690.16,107426.24,2,271.28,68.81,115.0,154.84,3.44,1.75,star,"Keep quality high, feature prominently, and bundle for upsell.",0.48
Stories - Bir Hasan,CHOCOLATE YOGHURT COMBO MEDIUM,FOOD,MEDIUM,TAKE AWAY,323.5,131644.41,24350.84,107293.57,1,331.66,81.5,115.0,154.84,2.81,2.14,star,"Keep quality high, feature prominently, and bundle for upsell.",0.48
Stories - Bir Hasan,PESTO HALLOUMI SUB,FOOD,SANDWICHES,Toters,575.5,171438.38,65871.91,105566.47,2,183.43,61.58,115.0,154.84,5.0,1.18,star,"Keep quality high, feature prominently, and bundle for upsell.",0.47
Stories - Bir Hasan,STRAWBERRY CREAM FRAPP MEDIUM,BEVERAGES,COLD BAR SECTION,Toters,512.0,140754.23,36568.8,104185.43,2,203.49,74.02,115.0,154.84,4.45,1.31,star,"Keep quality high, feature prominently, and bundle for upsell.",0.47
Stories - Bir Hasan,BROWN PESTO HALLOUMI SUB,FOOD,SANDWICHES,Toters,477.0,160888.59,63249.71,97638.88,2,204.69,60.69,115.0,154.84,4.15,1.32,star,"Keep quality high, feature prominently, and bundle for upsell.",0.44
Stories - Bir Hasan,BROWNIES CAKE,FOOD,COFFEE PASTRY,Toters,986.0,158524.62,64714.46,93810.16,2,95.14,59.18,115.0,154.84,8.57,0.61,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.42
Stories - Bir Hasan,LOTUS YOGHURT COMBO SMALL,FOOD,MEDIUM,TAKE AWAY,431.5,135425.76,41651.22,93774.54,1,217.32,69.24,115.0,154.84,3.75,1.4,star,"Keep quality high, feature prominently, and bundle for upsell.",0.42
Stories - Bir Hasan,BLACK COFFEE SMALL,BEVERAGES,HOT BAR SECTION,Toters,823.0,133384.23,42604.03,90780.2,2,110.3,68.06,115.0,154.84,7.16,0.71,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.41
Stories - Bir Hasan,CHOCOLATE CROISSANT,FOOD,CROISSANT,Toters,677.0,146277.54,56552.07,89725.47,2,132.53,61.34,115.0,154.84,5.89,0.86,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.4
Stories - Bir Hasan,CHICKEN CAESAR SANDWICH,FOOD,SANDWICHES,Toters,301.0,138651.72,50364.59,88287.13,2,293.31,63.68,115.0,154.84,2.62,1.89,star,"Keep quality high, feature prominently, and bundle for upsell.",0.4
Stories - Bir Hasan,SIGNATURE HOT CHOCOLATE SMALL,BEVERAGES,HOT BAR SECTION,Toters,571.0,126013.55,38641.19,87372.36,2,153.02,69.34,115.0,154.84,4.97,0.99,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.39
Stories - Bir Hasan,SIGNATURE HOT CHOCOLATE MEDIUM,BEVERAGES,HOT BAR SECTION,Toters,449.0,122577.42,38108.7,84468.72,2,188.13,68.91,115.0,154.84,3.9,1.21,star,"Keep quality high, feature prominently, and bundle for upsell.",0.38
Stories - Bir Hasan,ORIGINAL YOGHURT COMBO X-LARGE,FOOD,MEDIUM,TAKE AWAY,214.0,118524.07,34901.94,83622.13,1,390.76,70.55,115.0,154.84,1.86,2.52,star,"Keep quality high, feature prominently, and bundle for upsell.",0.38
Stories - Bir Hasan,WHITE MOCHA FRAPP MEDIUM,BEVERAGES,COLD BAR SECTION,Toters,413.0,110217.31,26684.51,83532.8,2,202.26,75.79,115.0,154.84,3.59,1.31,star,"Keep quality high, feature prominently, and bundle for upsell.",0.38
Stories - Bir Hasan,CHOCOLATE CREAM FRAPP MEDIUM,BEVERAGES,COLD BAR SECTION,Toters,396.0,108678.32,27257.72,81420.6,2,205.61,74.92,115.0,154.84,3.44,1.33,star,"Keep quality high, feature prominently, and bundle for upsell.",0.37
Stories - Bir Hasan,MANGO YOGHURT COMBO X-LARGE,FOOD,MEDIUM,TAKE AWAY,192.5,106347.37,26647.59,79699.78,1,414.02,74.94,115.0,154.84,1.67,2.67,star,"Keep quality high, feature prominently, and bundle for upsell.",0.36
Stories - Bir Hasan,TUNA PASTA SALAD (GRAB&GO),FOOD,CREAM,TAKE AWAY,275.0,129188.17,52326.36,76861.81,1,279.5,59.5,115.0,154.84,2.39,1.81,star,"Keep quality high, feature prominently, and bundle for upsell.",0.35
Stories - Bir Hasan,CARAMEL CREAM FRAPP SMALL,BEVERAGES,COLD BAR SECTION,Toters,391.0,89490.9,12710.1,76780.8,2,196.37,85.8,115.0,154.84,3.4,1.27,star,"Keep quality high, feature prominently, and bundle for upsell.",0.34
Stories - Bir Hasan,CHOCOLATE ROLL LARGE,FOOD,CINNAMON ROLLS,Toters,400.0,99323.43,23475.23,75848.2,2,189.62,76.36,115.0,154.84,3.48,1.22,star,"Keep quality high, feature prominently, and bundle for upsell.",0.34
Stories - Bir Hasan,ICED MOCHA MEDIUM,BEVERAGES,COLD BAR SECTION,Toters,339.0,92755.56,17904.68,74850.88,2,220.8,80.7,115.0,154.84,2.95,1.43,star,"Keep quality high, feature prominently, and bundle for upsell.",0.34
Stories - Bir Hasan,MATCHA LATTE MEDIUM,BEVERAGES,HOT BAR SECTION,Toters,471.0,111569.05,37411.18,74157.87,2,157.45,66.47,115.0,154.84,4.1,1.02,star,"Keep quality high, feature prominently, and bundle for upsell.",0.33
Stories - Bir Hasan,WHITE MOCHA LARGE,BEVERAGES,HOT BAR SECTION,Toters,317.0,98680.75,26673.94,72006.81,2,227.15,72.97,115.0,154.84,2.76,1.47,star,"Keep quality high, feature prominently, and bundle for upsell.",0.32
Stories - Bir Hasan,ICED SALTED CARAMEL LATTE MEDIUM,BEVERAGES,COLD BAR SECTION,Toters,326.0,91862.82,20156.2,71706.62,2,219.96,78.06,115.0,154.84,2.83,1.42,star,"Keep quality high, feature prominently, and bundle for upsell.",0.32
Stories - Bir Hasan,CARAMEL CREAM FRAPP MEDIUM,BEVERAGES,COLD BAR SECTION,Toters,305.0,83562.53,12958.58,70603.95,2,231.49,84.49,115.0,154.84,2.65,1.5,star,"Keep quality high, feature prominently, and bundle for upsell.",0.32
Stories - Bir Hasan,AMERICANO LARGE,BEVERAGES,HOT BAR SECTION,Toters,334.0,88443.44,18764.36,69679.08,2,208.62,78.78,115.0,154.84,2.9,1.35,star,"Keep quality high, feature prominently, and bundle for upsell.",0.31
Stories - Bir Hasan,ICED AMERICANO MEDIUM,BEVERAGES,COLD BAR SECTION,Toters,348.0,81989.2,12347.86,69641.34,2,200.12,84.94,115.0,154.84,3.03,1.29,star,"Keep quality high, feature prominently, and bundle for upsell.",0.31
Stories - Bir Hasan,MOCHA FRAPP LARGE,BEVERAGES,COLD BAR SECTION,Toters,303.0,91741.29,22817.84,68923.45,2,227.47,75.13,115.0,154.84,2.63,1.47,star,"Keep quality high, feature prominently, and bundle for upsell.",0.31
Stories - Bir Hasan,BLUE NADE,BEVERAGES,COLD BAR SECTION,Toters,332.0,89044.32,22346.37,66697.95,2,200.9,74.9,115.0,154.84,2.89,1.3,star,"Keep quality high, feature prominently, and bundle for upsell.",0.3
Stories - Bir Hasan,MOCHA FRAPP SMALL,BEVERAGES,COLD BAR SECTION,Toters,375.0,83627.09,21637.57,61989.52,2,165.31,74.13,115.0,154.84,3.26,1.07,star,"Keep quality high, feature prominently, and bundle for upsell.",0.28
Stories - Bir Hasan,CHOCOLATE CRUNCH,FOOD,MEDIUM,TAKE AWAY,1068.0,112541.44,50747.48,61793.96,1,57.86,54.91,115.0,154.84,9.29,0.37,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.28
Stories - Bir Hasan,TOFFEE NUT LATTE MEDIUM,BEVERAGES,HOT BAR SECTION,Toters,319.0,86903.43,26049.79,60853.64,2,190.76,70.02,115.0,154.84,2.77,1.23,star,"Keep quality high, feature prominently, and bundle for upsell.",0.27
Stories - Bir Hasan,MOCHA MEDIUM,BEVERAGES,HOT BAR SECTION,Toters,309.0,83249.79,23099.73,60150.06,2,194.66,72.25,115.0,154.84,2.69,1.26,star,"Keep quality high, feature prominently, and bundle for upsell.",0.27
Stories - Bir Hasan,LOTUS YOGHURT COMBO MEDIUM,FOOD,MEDIUM,TAKE AWAY,213.0,86661.44,27146.66,59514.78,1,279.41,68.68,115.0,154.84,1.85,1.8,star,"Keep quality high, feature prominently, and bundle for upsell.",0.27
Stories - Bir Hasan,ESPRESSO FRAPP SMALL,BEVERAGES,COLD BAR SECTION,Toters,420.0,78662.16,19233.62,59428.54,2,141.5,75.55,115.0,154.84,3.65,0.91,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.27
Stories - Bir Hasan,CHOCOLATE YOGHURT COMBO SMALL,FOOD,FROZEN YOGHURT,Toters,189.5,68059.91,10876.27,57183.64,1,301.76,84.02,115.0,154.84,1.65,1.95,star,"Keep quality high, feature prominently, and bundle for upsell.",0.26
Stories - Bir Hasan,LOTUS SPREAD YOGHURT COMBO SMALL,FOOD,MEDIUM,TAKE AWAY,220.5,67633.64,11706.96,55926.68,1,253.64,82.69,115.0,154.84,1.92,1.64,star,"Keep quality high, feature prominently, and bundle for upsell.",0.25
Stories - Bir Hasan,DOUBLE CHOCOLATE MUFFIN,FOOD,COFFEE PASTRY,Toters,345.0,71166.55,16200.88,54965.67,2,159.32,77.24,115.0,154.84,3.0,1.03,star,"Keep quality high, feature prominently, and bundle for upsell.",0.25
Stories - Bir Hasan,MOCHA SMALL,BEVERAGES,HOT BAR SECTION,Toters,318.0,71402.39,17042.59,54359.8,2,170.94,76.13,115.0,154.84,2.77,1.1,star,"Keep quality high, feature prominently, and bundle for upsell.",0.24
Stories - Bir Hasan,ICED AMERICANO SMALL,BEVERAGES,COLD BAR SECTION,Toters,329.0,60657.16,7267.36,53389.8,2,162.28,88.02,115.0,154.84,2.86,1.05,star,"Keep quality high, feature prominently, and bundle for upsell.",0.24
Stories - Bir Hasan,ORIGINAL YOGHURT SMALL,FOOD,MEDIUM,TAKE AWAY,215.0,68540.75,16470.74,52070.01,1,242.19,75.97,115.0,154.84,1.87,1.56,star,"Keep quality high, feature prominently, and bundle for upsell.",0.23
Stories - Bir Hasan,BLUEBERRY YOGHURT COMBO X-LARGE,FOOD,FROZEN YOGHURT,Toters,120.0,68218.66,16495.2,51723.46,2,431.03,75.82,115.0,154.84,1.04,2.78,star,"Keep quality high, feature prominently, and bundle for upsell.",0.23
Stories - Bir Hasan,TOFFEE NUT LATTE SMALL,BEVERAGES,HOT BAR SECTION,Toters,294.0,69249.85,17773.87,51475.98,2,175.09,74.33,115.0,154.84,2.56,1.13,star,"Keep quality high, feature prominently, and bundle for upsell.",0.23
Stories - Bir Hasan,HOT DOUBLE SHOT SMALL,BEVERAGES,HOT BAR SECTION,Toters,335.0,69481.29,18078.25,51403.04,2,153.44,73.98,115.0,154.84,2.91,0.99,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.23
Stories - Bir Hasan,POMEGRANATE YOGHURT COMBO SMALL,FOOD,MEDIUM,TAKE AWAY,209.75,65310.0,14276.98,51033.02,1,243.3,78.14,115.0,154.84,1.82,1.57,star,"Keep quality high, feature prominently, and bundle for upsell.",0.23
Stories - Bir Hasan,REPLACE ALMOND MEDIUM,BEVERAGES,COLD BAR SECTION,Toters,632.0,78077.6,27496.39,50581.21,2,80.03,64.78,115.0,154.84,5.5,0.52,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.23
Stories - Bir Hasan,CHOCOLATE CREAM FRAP SMALL,BEVERAGES,COLD BAR SECTION,Toters,283.0,63877.44,14621.38,49256.06,2,174.05,77.11,115.0,154.84,2.46,1.12,star,"Keep quality high, feature prominently, and bundle for upsell.",0.22
Stories - Bir Hasan,MATCHA CREAM FRAPP MEDIUM,BEVERAGES,COLD BAR SECTION,Toters,248.0,65878.44,17000.25,48878.19,2,197.09,74.19,115.0,154.84,2.16,1.27,star,"Keep quality high, feature prominently, and bundle for upsell.",0.22
