source_file,row_type,branch,division,group,description,qty,total_amount
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,SIGNATURE HOT CHOCOLATE MEDIUM,449.0,122577.42
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,STEAMED MILK SMALL,37.0,3913.27
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,STEAMED MILK MEDIUM,12.0,2040.69
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,LATTE LARGE,643.0,178481.32
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,MOCHA  LARGE,60.0,18357.75
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CAPPUCCINO LARGE,193.0,54282.16
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,STEAMED MILK LARGE,1.0,200.0
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,WHITE MOCHA LARGE,317.0,98680.75
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CARAMEL MACCHIATO LARGE,115.0,36413.12
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,MATCHA LATTE SMALL,299.0,58144.38
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,MATCHA LATTE MEDIUM,471.0,111569.05
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,MATCHA LATTE LARGE,101.0,28462.82
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,FLAT WHITE,2179.0,283608.31
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,HOT DOUBLE SHOT SMALL,335.0,69481.29
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,HOT DOUBLE SHOT MEDIUM,185.0,50738.26
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,HOT DOUBLE SHOT LARGE,44.0,15241.14
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,TOFFEE NUT LATTE MEDIUM,319.0,86903.42
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,TOFFEE NUT LATTE SMALL,294.0,69249.85
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CLASSIC HOT CHOC SMALL,108.0,23802.17
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CLASSIC HOT CHOC MEDIUM,107.0,28729.95
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,HOT DOUBLE SHOT TOFFEE NUT SMALL,5.0,1375.38
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,HOT DOUBLE SHOT TOFFEE NUT MEDIUM,3.0,924.32
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CLASSIC HOT CHOC LARGE,26.0,8287.96
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,SPANISH LATTE SMALL,768.0,174998.26
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,SPANISH LATTE MEDIUM,578.0,176355.72
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,SALTED CARAMEL LATTE SMALL,144.0,34067.75
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,SALTED CARAMEL LATTE MEDIUM,221.0,62348.23
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,SALTED CARAMEL LATTE LARGE,32.0,11130.93
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,SIGNATURE HOT CHOCOLATE LARGE,106.0,33558.38
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,TOFFEE NUT LATTE LARGE,43.0,15054.95
rep_s_00191_SMRY-3.csv,group_total,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,Total by Group: MIXED HOT BEVERAGE,22591.0,5059071.62
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,TEA,ENGLISH BREAKFAST TEA MEDIUM,166.0,23935.89
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,TEA,EARL GREY LAVENDER TEA MEDIUM,72.0,10251.35
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,TEA,ORGANIC GREEN TEA MEDIUM,94.0,13557.06
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,TEA,SOUTHERN MINT HERBAL TEA MEDIUM,56.0,8577.03
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,TEA,ADD ENGLISH BREAKFAST TEA BAG,8.0,292.79
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,TEA,ADD EARL GREY LAVENDER  BAG,12.0,426.13
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,TEA,ADD GREEN TEA BAG,6.0,200.0
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,TEA,ADD SOUTHERN MINT HERBAL TEA BAG,9.0,300.0
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,TEA,GOLDEN CHAMOMILE HERBAL TEA MEDIUM,62.0,9030.03
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,TEA,SWEET GINGER PEACH BLACK TEA MEDIUM,68.0,10192.19
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,TEA,ADD GOLDEN CHAMOMILE HERBAL TEA BAG,10.0,333.33
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,TEA,ADD SWEET GINGER PEACH BLACK  TEA BAG,15.0,517.42
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,TEA,BOMBAY CHAI BLACK TEA MEDIUM,41.0,6000.0
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,TEA,ADD BOMBAY CHAI TEA BAG,6.0,200.0
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,TEA,MEDITERRANEAN CARAMEL TEA MEDIUM,20.0,3358.86
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,TEA,LEMONGRASS&ORANGE TEA MEDIUM,16.0,2354.35
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,TEA,ADD MEDITERRANEAN CARAMEL TEA BAG,1.0,33.33
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,TEA,ADD LEMONGRASS&ORANGE TEA BAG,2.0,84.08
rep_s_00191_SMRY-3.csv,group_total,Stories - Bir Hasan,HOT BAR SECTION,TEA,Total by Group: TEA,664.0,89643.84
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,BEANS,YIRGACHEFFE BEANS 250G,22.0,13939.94
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,BEANS,HOUSE BLEND BEANS 250G,45.125,23214.41
rep_s_00191_SMRY-3.csv,group_total,Stories - Bir Hasan,HOT BAR SECTION,BEANS,Total by Group: BEANS,67.125,37154.35
rep_s_00191_SMRY-3.csv,division_total,Stories - Bir Hasan,HOT BAR SECTION,BEANS,Total by Division: HOT BAR SECTION,33381.125,6869184.94
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED AMERICANO SMALL,329.0,60657.16
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED AMERICANO MEDIUM,348.0,81989.2
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED LATTE SMALL,1888.0,295020.42
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED LATTE MEDIUM,2605.0,621121.77
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MOCHA SMALL,338.0,54684.68
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MOCHA MEDIUM,339.0,92755.56
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED WHITE MOCHA SMALL,1249.0,256086.85
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED WHITE MOCHA MEDIUM,1888.0,515809.13
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED AMERICANO LARGE,123.0,33878.61
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED LATTE LARGE,708.0,199489.73
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MOCHA LARGE,69.0,21593.96
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED WHITE MOCHA LARGE,501.0,155063.09
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,DOUBLE SHOT SHAKEN MEDIUM,1013.0,243831.81
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,DOUBLE SHOT SHAKEN LARGE,193.0,54185.35
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MATCHA LATTE SMALL,953.0,192352.97
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MATCHA LATTE MEDIUM,1651.0,402051.29
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MATCHA LATTE LARGE,775.0,221634.24
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,DOUBLE SHOT SHAKEN SMALL,1286.0,166815.62
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CARAMEL MACCHIATO SMALL,791.0,187752.28
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CARAMEL MACCHIATO MEDIUM,1642.0,454097.9
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CARAMEL MACCHIATO LARGE,417.0,133285.62
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED TOFFEE NUT LATTE SMALL,31.0,7376.7
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED TOFFEE NUT LATTE MEDIUM,96.0,25806.13
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CLASSIC CHOC MEDIUM,54.0,14766.13
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CLASSIC CHOC SMALL,37.0,8665.59
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,BLUE NADE,332.0,89044.32
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED DOUBLE SHOT TOFFEE NUT SMALL,6.0,1428.42
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED DOUBLE SHOT TOFFEE NUT MEDIUM,3.0,800.24
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,SIGNATURE ICED CHOCOLATE SMALL,9.0,1921.92
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,SIGNATURE ICED CHOCOLATE MEDIUM,12.0,3360.36
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED TOFFEE NUT LATTE LARGE,16.0,5267.87
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CLASSIC CHOC LARGE,10.0,3145.95
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,SIGNATURE ICED CHOCOLATE LARGE,3.0,912.91
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED SPANISH LATTE SMALL,662.0,158023.48
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED SPANISH LATTE MEDIUM,1249.0,377626.18
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED SALTED CARAMEL LATTE SMALL,173.0,40807.87
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED SALTED CARAMEL LATTE MEDIUM,326.0,91862.82
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED SALTED CARAMEL LATTE LARGE,78.0,26349.25
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,COLD BREW BOTTLE,436.0,59258.26
rep_s_00191_SMRY-3.csv,group_total,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,Total by Group: MIXED COLD BEVERAGES,22639.0,5360581.63
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,COFFEE FRAPPE SMALL,225.0,43743.06
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,COFFEE FRAPPE MEDIUM,229.0,53259.07
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CARAMEL FRAPP SMALL,1640.0,384807.72
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CARAMEL FRAPP MEDIUM,2287.0,634455.14
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CARAMEL FRAPP LARGE,846.0,276544.61
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,COFFEE FRAPP LARGE,181.0,48653.69
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,MOCHA FRAPP SMALL,375.0,83627.09
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,MOCHA FRAPP MEDIUM,725.0,197497.3
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,MOCHA FRAPP LARGE,303.0,91741.29
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,ESPRESSO FRAPP SMALL,420.0,78662.16
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,ESPRESSO FRAPP MEDIUM,618.0,143655.98
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,ESPRESSO FRAPP LARGE,130.0,34910.99
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,VANILLA CREAM FRAPP SMALL,147.0,32336.64
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,VANILLA CREAM FRAPP MEDIUM,140.0,36749.19
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,VANILLA CREAM FRAPP LARGE,42.0,12720.84
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA FRAPP SMALL,268.0,61754.5
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA FRAPP MEDIUM,413.0,110217.3
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA FRAPP LARGE,165.0,50469.37
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA CREAM FRAPP SMALL,38.0,8269.04
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA CREAM FRAPP MEDIUM,71.0,18906.31
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CHOCOLATE CREAM FRAPP MEDIUM,396.0,108678.32
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CHOCOLATE CREAM FRAPP LARGE,53.0,14921.86
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA CREAM FRAPP LARGE,33.0,10013.84
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CHOCOLATE CREAM FRAP SMALL,283.0,63877.45
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CARAMEL CREAM  FRAPP MEDIUM,305.0,83562.52
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CARAMEL CREAM  FRAPP LARGE,53.0,16764.29
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CARAMEL CREAM FRAPP SMALL,391.0,89490.9
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,MATCHA CREAM  FRAPP SMALL,160.0,33093.81
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,MATCHA CREAM FRAPP MEDIUM,248.0,65878.44
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,MATCHA CREAM FRAPP LARGE,130.0,40027.6
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,STRAWBERRY CREAM FRAPP SMALL,674.0,150796.07
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,STRAWBERRY CREAM FRAPP MEDIUM,512.0,140754.23
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,STRAWBERRY CREAM FRAPP LARGE,144.0,43479.88
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,VANILLA FRAP SMALL,113.0,26294.35
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,VANILLA FRAPP MEDIUM,129.0,34279.64
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,VANILLA FRAPP LARGE,14.0,4231.65
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,HAZELNUT FRAPP SMALL,25.0,6027.15
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,HAZELNUT FRAPP MEDIUM,54.0,14554.96
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,HAZELNUT FRAPP LARGE,5.0,1410.81
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,TOFFEENUT FRAP SMALL,12.0,3047.2
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,TOFFEENUT FRAP MEDIUM,36.0,10334.7
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,TOFFEENUT CREAM  FRAP SMALL,4.0,1070.26
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,TOFFEENUT CREAM  FRAP MEDIUM,10.0,2905.37
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,TOFFEENUT CREAM  FRAP LARGE,2.0,700.0
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,TOFFEENUT FRAP LARGE,12.0,4167.57
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,SALTED CARAMEL FRAPPE SMALL,73.0,18120.67
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,SALTED CARAMEL CREAM FRAPPE SMALL,26.0,6635.79
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,SALTED CARAMEL CREAM FRAPPE MEDIUM,66.0,19179.64
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,SALTED CARAMEL CREAM FRAPPE LARGE,23.0,7453.75
